length,fold,char_num,accuracy_top1,accuracy_top3
2,3,12,0.9244019138755981,0.9320574162679426
2,3,13,0.9564356435643564,0.9623762376237623
2,3,14,0.9846153846153847,0.9897435897435898
2,3,15,0.98,0.98
2,3,16,0.8,0.8
2,3,18,0.2,0.2
2,4,1,0.7230769230769231,0.9923076923076923
2,4,2,0.447979797979798,0.7202020202020202
2,4,3,0.5836309523809524,0.7574404761904762
2,4,4,0.7153777777777778,0.8721777777777778
2,4,5,0.7929088277858176,0.8885672937771346
2,4,6,0.84519549370444,0.9003313452617627
2,4,7,0.8736698499317872,0.9200545702592088
2,4,8,0.8922813036020584,0.9274442538593481
2,4,9,0.9177117711771177,0.9386138613861386
2,4,10,0.9281967213114755,0.9455737704918032
2,4,11,0.9287234042553192,0.9377659574468085
2,4,12,0.9167464114832536,0.9272727272727272
2,4,13,0.9623762376237623,0.9643564356435643
2,4,14,0.9794871794871794,0.9846153846153847
2,4,15,1.0,1.0
2,4,16,0.9333333333333333,0.9333333333333333
2,4,18,0.0,0.0
2,5,1,0.7307692307692307,0.9846153846153847
2,5,2,0.4383838383838384,0.6989898989898989
2,5,3,0.5892857142857143,0.7589285714285714
2,5,4,0.7089777777777778,0.8597333333333333
2,5,5,0.8011577424023155,0.8918958031837916
2,5,6,0.839893969516236,0.9009940357852882
2,5,7,0.8815825375170532,0.9234652114597545
2,5,8,0.8922813036020584,0.9272727272727272
2,5,9,0.9240924092409241,0.9421342134213422
2,5,10,0.9337704918032786,0.9498360655737705
2,5,11,0.926595744680851,0.9404255319148936
2,5,12,0.9339712918660287,0.9406698564593301
2,5,13,0.9584158415841584,0.9722772277227723
2,5,14,0.9794871794871794,0.9794871794871794
2,5,15,0.98,0.98
2,5,16,0.9333333333333333,0.9333333333333333
2,5,18,0.2,0.2
2,6,1,0.7307692307692307,1.0
2,6,2,0.44292929292929295,0.7217171717171718
2,6,3,0.6,0.7657738095238096
2,6,4,0.7146666666666667,0.8691555555555556
2,6,5,0.7939218523878437,0.8884225759768452
2,6,6,0.8421471172962227,0.901921802518224
2,6,7,0.8723055934515689,0.9147339699863575
2,6,8,0.8927958833619211,0.9231560891938251
2,6,9,0.9150715071507151,0.9344334433443344
2,6,10,0.9308196721311476,0.9455737704918032
2,6,11,0.9175531914893617,0.9308510638297872
2,6,12,0.9282296650717703,0.9330143540669856
2,6,13,0.9564356435643564,0.9702970297029703
2,6,14,0.9846153846153847,0.9897435897435898
2,6,15,0.9,0.9
2,6,16,0.8666666666666667,0.8666666666666667
2,6,18,0.2,0.2
2,7,1,0.7307692307692307,0.9923076923076923
2,7,2,0.45,0.7075757575757575
2,7,3,0.5875,0.7589285714285714
2,7,4,0.7182222222222222,0.8684444444444445
2,7,5,0.7937771345875543,0.8901591895803184
2,7,6,0.8393638170974155,0.8996686547382372
2,7,7,0.8713506139154161,0.9152796725784448
2,7,8,0.8963979416809605,0.9276157804459692
2,7,9,0.921012101210121,0.9421342134213422
2,7,10,0.9291803278688524,0.9488524590163935
2,7,11,0.9212765957446809,0.9329787234042554
2,7,12,0.9196172248803828,0.9244019138755981
2,7,13,0.9504950495049505,0.9643564356435643
2,7,14,0.9743589743589743,0.9743589743589743
2,7,15,0.92,0.92
2,7,16,0.9333333333333333,0.9333333333333333
2,7,18,0.2,0.2
2,8,1,0.7538461538461538,1.0
2,8,2,0.43383838383838386,0.7005050505050505
2,8,3,0.5863095238095238,0.7616071428571428
2,8,4,0.7242666666666666,0.8684444444444445
2,8,5,0.7868306801736613,0.8874095513748191
2,8,6,0.8425447316103379,0.8987408880053015
2,8,7,0.8758526603001364,0.9169167803547067
2,8,8,0.8946826758147512,0.925557461406518
2,8,9,0.9181518151815181,0.9392739273927393
2,8,10,0.9337704918032786,0.9524590163934427
2,8,11,0.9308510638297872,0.9414893617021277
