Time,Type,X,Y,Keys,Finger
14:29:29.172,tap,[279],[115],[f],Left Index
14:29:29.572,tap,[410],[187],[b],Right Index
14:29:29.630,tap,[503],[50],[u],Right Index
14:29:29.722,tap,[326],[67],[t],Right Index
14:29:30.281,tap,[56],[139],[a],Left Middle
14:29:30.972,swipe,"[210, 257]","[113, 78]","[d, t]",Left Middle
14:29:32.331,tap,[192],[31],[e],Left Middle
14:29:32.531,tap,[56],[116],[a],Left Middle
14:29:32.856,tap,[558],[172],[m],Right Index
14:29:35.574,tap,[342],[47],[t],Right Index
14:29:35.658,tap,[591],[41],[i],Right Index
14:29:36.075,tap,[226],[186],[c],Left Index
14:29:36.183,tap,[617],[103],[k],Right Middle
14:29:36.950,swipe,"[168, 247]","[34, 22]","[e, t]",Left Middle
14:29:37.784,tap,[139],[113],[s],Left Ring
14:29:38.834,swipe,"[71, 84]","[125, 114]","[a, e]",Left Ring
14:29:39.184,tap,[264],[43],[r],Left Index
14:29:40.160,tap,[58],[120],[a],Left Index
14:29:40.685,tap,[259],[36],[r],Left Index
14:29:40.701,tap,[181],[32],[e],Left Index
14:29:41.227,swipe,"[285, 315]","[132, 160]","[f, v]",Left Index
14:29:42.061,tap,[316],[188],[v],Left Index
14:29:42.378,tap,[199],[63],[e],Left Index
14:29:42.436,tap,[276],[58],[r],Left Index
14:29:42.578,tap,[439],[62],[y],Right Index
14:29:43.353,tap,[213],[57],[e],Left Middle
14:29:43.786,tap,[208],[172],[x],Left Middle
14:29:44.203,tap,[733],[33],[p],Right Middle
14:29:44.337,tap,[185],[59],[e],Left Middle
14:29:44.537,tap,[517],[148],[j],Right Middle
14:29:46.621,tap,[199],[52],[e],Left Middle
14:29:47.071,tap,[192],[177],[x],Left Middle
14:29:47.171,tap,[731],[59],[p],Right Middle
14:29:47.405,tap,[189],[69],[e],Left Middle
14:29:47.547,tap,[524],[178],[n],Right Middle
14:29:48.839,swipe,"[130, 220]","[129, 107]","[s, t]",Left Ring
14:29:49.731,swipe,"[338, 273]","[181, 149]","[v, w]",Left Thumb
14:29:52.066,tap,[174],[37],[e],Left Middle
14:29:52.216,tap,[179],[172],[x],Left Middle
14:29:52.416,tap,[769],[20],[p],Right Middle
14:29:52.608,tap,[174],[41],[e],Left Middle
14:29:53.250,tap,[502],[193],[n],Right Middle
14:29:53.733,swipe,"[144, 211]","[107, 83]","[s, t]",Left Ring
14:29:54.817,swipe,"[313, 269]","[189, 137]","[v, w]",Left Index
14:29:57.902,tap,[300],[115],[f],Left Index
14:29:58.286,tap,[271],[42],[r],Left Index
14:29:58.677,tap,[215],[43],[e],Left Index
14:29:59.111,tap,[42],[62],[q],Left Ring
14:29:59.294,tap,[542],[63],[u],Right Index
14:29:59.586,tap,[196],[48],[e],Left Middle
14:29:59.703,tap,[479],[190],[n],Right Middle
14:29:59.920,tap,[334],[42],[t],Left Index
14:30:00.912,swipe,"[709, 642]","[113, 90]","[l, u]",Right Ring
14:30:02.246,tap,[72],[126],[a],Left Ring
14:30:02.488,tap,[152],[111],[s],Left Ring
14:30:02.646,tap,[626],[107],[k],Right Middle
14:30:03.347,swipe,"[198, 213]","[43, 86]","[e, a]",Left Middle
14:30:05.564,tap,[59],[118],[a],Left Ring
14:30:05.840,tap,[112],[103],[s],Left Ring
14:30:05.923,tap,[629],[115],[k],Right Middle
14:30:06.448,swipe,"[185, 195]","[31, 67]","[e, a]",Left Middle
14:30:08.449,swipe,"[43, 72]","[104, 98]","[a, r]",Left Ring
14:30:08.800,tap,[119],[105],[s],Left Ring
14:30:08.950,tap,[633],[115],[k],Right Middle
14:30:09.175,tap,[196],[61],[e],Left Middle
14:30:09.308,swipe,"[201, 206]","[78, 115]","[e, a]",Left Middle
14:30:11.151,tap,[53],[104],[a],Left Middle
14:30:12.044,tap,[142],[101],[s],Left Middle
14:30:12.168,tap,[629],[108],[k],Right Middle
14:30:12.785,swipe,"[181, 192]","[31, 57]","[e, a]",Left Middle
14:30:14.019,tap,[48],[108],[a],Left Ring
14:30:14.294,tap,[106],[90],[s],Left Ring
14:30:14.595,tap,[615],[125],[k],Right Middle
14:30:14.761,tap,[189],[38],[e],Left Middle
14:30:15.020,tap,[204],[93],[d],Left Middle
14:30:16.004,tap,[2],[35],[q],Left Ring
14:30:16.304,tap,[534],[43],[u],Right Index
14:30:16.429,tap,[180],[38],[e],Left Middle
14:30:16.746,tap,[157],[106],[s],Left Middle
14:30:18.630,swipe,"[333, 362]","[58, 48]","[t, u]",Left Index
14:30:19.964,tap,[678],[28],[o],Right Middle
14:30:20.181,tap,[500],[169],[n],Right Middle
14:30:20.439,tap,[150],[106],[s],Left Ring
14:30:23.441,tap,[140],[94],[s],Left Ring
14:30:23.691,tap,[56],[111],[a],Left Ring
14:30:23.966,tap,[234],[107],[d],Left Index
14:30:24.842,tap,[324],[50],[t],Left Index
14:30:26.201,tap,[624],[52],[i],Right Middle
14:30:27.243,tap,[687],[42],[o],Right Middle
14:30:28.994,tap,[472],[118],[h],Right Middle
14:30:29.111,tap,[173],[48],[e],Left Middle
14:30:29.503,swipe,"[85, 119]","[114, 105]","[a, r]",Left Middle
14:30:31.421,tap,[484],[139],[h],Right Index
14:30:31.712,tap,[185],[43],[e],Left Middle
14:30:32.104,swipe,"[64, 110]","[104, 99]","[a, r]",Left Middle
14:30:34.189,tap,[455],[118],[h],Right Index
14:30:34.264,tap,[185],[38],[e],Left Middle
14:30:34.898,swipe,"[43, 106]","[115, 85]","[a, r]",Left Middle
14:30:36.815,tap,[312],[44],[r],Left Middle
14:30:36.899,tap,[445],[118],[h],Right Index
14:30:37.099,tap,[74],[129.5],[a],Left Ring
14:30:37.216,tap,[309],[48],[r],Left Index
14:30:39.308,tap,[339],[46],[t],Left Index
14:30:39.383,tap,[447],[115],[h],Right Index
14:30:39.600,tap,[70],[113],[a],Left Ring
14:30:39.750,tap,[313],[41],[r],Left Index
14:30:40.784,tap,[338],[50],[t],Left Index
14:30:42.510,tap,[334],[43],[t],Left Index
14:30:42.977,tap,[474],[189],[n],Right Middle
14:30:43.044,tap,[173],[48],[e],Left Middle
14:30:44.670,tap,[467],[113],[h],Right Index
14:30:45.145,swipe,"[70, 132]","[115, 92]","[a, r]",Left Ring
14:30:47.530,tap,[311],[45],[r],Left Index
14:30:47.638,tap,[449],[116],[h],Right Index
14:30:49.039,tap,[331],[41],[t],Right Index
14:30:49.139,tap,[457],[118],[h],Right Index
14:30:49.614,swipe,"[28, 80]","[120, 89]","[a, e]",Left Ring
14:30:52.066,tap,[490.5],[183],[n],Right Middle
14:30:52.207,tap,[189],[36],[e],Left Middle
14:30:52.658,swipe,"[110, 129]","[24, 73]","[w, t]",Left Middle
14:30:57.560,tap,[341],[43],[t],Right Index
14:30:57.652,tap,[468],[115],[h],Right Index
14:30:57.777,tap,[222],[48],[e],Left Middle
14:30:58.561,tap,[735],[31],[p],Right Middle
14:30:58.611,tap,[654],[48],[o],Right Middle
14:30:58.986,tap,[91],[58],[w],Left Middle
14:30:59.320,tap,[154],[55],[w],Left Middle
14:30:59.486,tap,[230],[38],[e],Left Middle
14:31:00.779,tap,[192],[47],[e],Left Middle
14:31:00.845,tap,[278],[31],[r],Left Middle
14:31:01.980,tap,[731],[31],[p],Right Middle
14:31:02.079,tap,[660],[49],[o],Right Middle
14:31:02.238,tap,[117],[53],[w],Left Middle
14:31:02.413,tap,[193],[41],[e],Left Middle
14:31:03.789,tap,[342],[62],[t],Right Index
14:31:03.906,tap,[469],[126],[h],Right Index
14:31:04.589,tap,[154],[65],[w],Left Middle
14:31:06.382,tap,[176],[32],[e],Left Middle
14:31:06.966,swipe,"[752, 709]","[31, 31]","[p, u]",Right Middle
14:31:08.050,swipe,"[122, 174]","[36, 36]","[w, t]",Left Middle
14:31:08.592,tap,[273],[44],[r],Left Middle
14:31:11.043,tap,[740],[34],[p],Right Middle
14:31:11.235,tap,[698],[34],[o],Right Middle
14:31:11.443,tap,[127],[36],[w],Left Middle
14:31:11.468,tap,[205],[31],[e],Left Middle
14:31:11.660,tap,[268],[36],[r],Left Index
14:31:12.402,tap,[676],[36],[o],Right Middle
14:31:13.086,tap,[206],[125],[d],Left Middle
14:31:14.186,tap,[284],[118],[f],Left Middle
14:31:15.070,tap,[231],[107],[d],Left Middle
14:31:15.612,tap,[182],[31],[e],Left Middle
14:31:16.021,swipe,"[484, 517]","[197, 149]","[n, i]",Right Middle
14:31:16.613,tap,[52],[125],[a],Left Ring
14:31:16.754,tap,[669],[104],[l],Right Middle
14:31:18.822,swipe,"[205, 186]","[122, 56]","[d, e]",Left Middle
14:31:19.698,swipe,"[498, 528]","[197, 145]","[n, i]",Right Middle
14:31:20.240,tap,[73],[130],[a],Left Ring
14:31:20.532,tap,[714],[107],[l],Right Middle
14:31:23.550,tap,[745],[37],[p],Right Middle
14:31:23.675,tap,[266],[52],[r],Left Index
14:31:23.984,tap,[315],[58],[r],Left Index
14:31:24.192,tap,[196],[39],[e],Left Index
14:31:25.518,tap,[710],[37],[o],Right Middle
