pid,target,word,count,insert_start_time,insert_end_time,category,swipe_ratio,tap_ratio,swipe_dist,swipe_key_set
2,person,person,6,1900-01-01 14:35:23.451,1900-01-01 14:35:25.978,top1,0.0,1.0,[],[]
2,is,is,2,1900-01-01 14:35:25.978,1900-01-01 14:35:26.854,top1,0.0,1.0,[],[]
2,a,a,1,1900-01-01 14:35:26.854,1900-01-01 14:35:27.262,top1,0.0,1.0,[],[]
2,disaster,disasrer,8,1900-01-01 14:35:27.262,1900-01-01 14:35:32.148,incorrect,0.0,1.0,[],[]
2,is,is,2,1900-01-01 14:35:32.650,1900-01-01 14:35:34.350,top1,0.0,1.0,[],[]
2,she,she,3,1900-01-01 14:35:34.350,1900-01-01 14:35:35.292,top1,0.0,1.0,[],[]
2,done,done,4,1900-01-01 14:35:40.362,1900-01-01 14:35:42.095,top1,0.0,1.0,[],[]
2,yet,yet,3,1900-01-01 14:35:42.095,1900-01-01 14:35:43.832,top1,0.0,1.0,[],[]
2,please,please,6,1900-01-01 14:35:49.417,1900-01-01 14:35:53.535,top1,0.2,0.8,"[[1.0809299381782336, 1.25]]","[['p', 'l']]"
2,follow,follow,6,1900-01-01 14:35:55.728,1900-01-01 14:35:57.846,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:35:57.846,1900-01-01 14:35:59.530,top1,0.0,1.0,[],[]
2,guidelines,guidelines,10,1900-01-01 14:36:02.808,1900-01-01 14:36:07.668,top1,0.1111111111111111,0.8888888888888888,"[[1.179224221946361, 1.0307764064044151]]","[['d', 'e']]"
2,completely,completely,10,1900-01-01 14:36:08.170,1900-01-01 14:36:13.296,top1,0.0,1.0,[],[]
2,sold,sold,4,1900-01-01 14:36:13.296,1900-01-01 14:36:14.689,top1,0.0,1.0,[],[]
2,out,out,3,1900-01-01 14:36:14.689,1900-01-01 14:36:16.006,top1,0.0,1.0,[],[]
2,of,of,2,1900-01-01 14:36:23.085,1900-01-01 14:36:24.187,top1,0.0,1.0,[],[]
2,that,that,4,1900-01-01 14:36:25.579,1900-01-01 14:36:27.323,top1,0.0,1.0,[],[]
2,just,judt,4,1900-01-01 14:36:27.824,1900-01-01 14:36:30.056,incorrect,0.0,1.0,[],[]
2,what,what,4,1900-01-01 14:36:30.056,1900-01-01 14:36:32.482,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:36:32.482,1900-01-01 14:36:33.691,top1,0.0,1.0,[],[]
2,doctor,doctor,6,1900-01-01 14:36:35.209,1900-01-01 14:36:37.861,top1,0.0,1.0,[],[]
2,ordered,ordered,7,1900-01-01 14:36:37.861,1900-01-01 14:36:40.378,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:36:40.880,1900-01-01 14:36:43.330,top1,0.5,0.5,"[[1.757532618829591, 1.6007810593582121]]","[['t', 'h']]"
2,capital,capital,7,1900-01-01 14:36:43.330,1900-01-01 14:36:50.051,top1,0.4,0.6,"[[1.8759478312642375, 2.0], [3.7893315394176055, 3.881043674065006]]","[['p', 'i'], ['t', 'a']]"
2,of,of,2,1900-01-01 14:36:51.384,1900-01-01 14:36:52.310,top1,0.0,1.0,[],[]
2,our,our,3,1900-01-01 14:36:52.310,1900-01-01 14:36:55.049,top3,0.5,0.5,"[[1.668882560277984, 2.0]]","[['o', 'u']]"
2,nation,nation,6,1900-01-01 14:36:55.049,1900-01-01 14:37:00.923,top1,1.0,0.0,"[[5.924271888278762, 5.5901699437494745], [2.863742931571373, 3.0], [3.16518715135851, 3.010398644698074]]","[['n', 'a'], ['t', 'i'], ['o', 'n']]"
2,a,a,1,1900-01-01 14:37:01.424,1900-01-01 14:37:03.208,top1,0.0,1.0,[],[]
2,quarter,quarter,7,1900-01-01 14:37:03.208,1900-01-01 14:37:12.121,top1,0.75,0.25,"[[6.092635314716038, 6.0], [3.0958789593990907, 2.9261749776799064], [2.129465253443925, 2.0]]","[['q', 'u'], ['a', 'r'], ['t', 'e']]"
2,of,of,2,1900-01-01 14:37:12.121,1900-01-01 14:37:13.005,top1,0.0,1.0,[],[]
2,a,a,1,1900-01-01 14:37:13.005,1900-01-01 14:37:14.198,top1,0.0,1.0,[],[]
2,century,century,7,1900-01-01 14:37:21.485,1900-01-01 14:37:25.879,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:37:39.812,1900-01-01 14:37:40.662,top1,0.0,1.0,[],[]
2,library,library,7,1900-01-01 14:37:40.662,1900-01-01 14:37:42.989,top1,0.0,1.0,[],[]
2,is,is,2,1900-01-01 14:37:42.989,1900-01-01 14:37:44.006,top1,0.0,1.0,[],[]
2,closed,closed,6,1900-01-01 14:37:44.006,1900-01-01 14:37:45.632,top1,0.0,1.0,[],[]
2,today,today,5,1900-01-01 14:37:45.632,1900-01-01 14:37:47.983,top1,0.0,1.0,[],[]
2,tickets,tickets,7,1900-01-01 14:37:48.484,1900-01-01 14:37:53.569,top1,0.16666666666666666,0.8333333333333334,"[[2.8972439193352364, 3.0]]","[['t', 'i']]"
2,are,are,3,1900-01-01 14:37:53.569,1900-01-01 14:37:54.403,top1,0.0,1.0,[],[]
2,very,very,4,1900-01-01 14:37:54.403,1900-01-01 14:37:55.245,top1,0.0,1.0,[],[]
2,expensive,expensive,9,1900-01-01 14:37:55.245,1900-01-01 14:37:58.564,top1,0.0,1.0,[],[]
2,zero,zero,4,1900-01-01 14:38:00.341,1900-01-01 14:38:05.185,top1,0.3333333333333333,0.6666666666666666,"[[2.319197712841663, 2.3584952830141512]]","[['z', 'e']]"
2,in,in,2,1900-01-01 14:38:05.185,1900-01-01 14:38:06.010,top1,0.0,1.0,[],[]
2,on,on,2,1900-01-01 14:38:06.010,1900-01-01 14:38:06.844,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:38:06.844,1900-01-01 14:38:07.486,top1,0.0,1.0,[],[]
2,facts,facts,5,1900-01-01 14:38:07.486,1900-01-01 14:38:09.395,top1,0.0,1.0,[],[]
2,life,life,4,1900-01-01 14:38:09.896,1900-01-01 14:38:12.180,top1,0.0,1.0,[],[]
2,if,if,2,1900-01-01 14:38:12.180,1900-01-01 14:38:13.981,top1,0.0,1.0,[],[]
2,but,but,3,1900-01-01 14:38:23.670,1900-01-01 14:38:25.156,top1,0.0,1.0,[],[]
2,a,a,1,1900-01-01 14:38:25.156,1900-01-01 14:38:25.690,top1,0.0,1.0,[],[]
2,dream,dream,5,1900-01-01 14:38:25.690,1900-01-01 14:38:27.230,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:38:29.117,1900-01-01 14:38:31.241,top1,0.0,1.0,[],[]
2,living,livng,6,1900-01-01 14:38:36.494,1900-01-01 14:38:38.345,incorrect,0.0,1.0,[],[]
2,is,is,2,1900-01-01 14:38:38.345,1900-01-01 14:38:38.753,top1,0.0,1.0,[],[]
2,easy,easy,4,1900-01-01 14:38:38.753,1900-01-01 14:38:40.454,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:38:40.956,1900-01-01 14:38:42.622,top1,0.0,1.0,[],[]
2,world,world,5,1900-01-01 14:38:42.622,1900-01-01 14:38:44.048,top1,0.0,1.0,[],[]
2,is,is,2,1900-01-01 14:38:44.523,1900-01-01 14:38:45.274,top1,0.0,1.0,[],[]
2,a,a,1,1900-01-01 14:38:45.274,1900-01-01 14:38:47.592,top1,0.0,1.0,[],[]
2,stage,stage,5,1900-01-01 14:38:54.170,1900-01-01 14:38:57.389,top1,0.0,1.0,[],[]
12,frequently,frequently,10,1900-01-01 17:22:35.631,1900-01-01 17:22:41.626,top1,0.1111111111111111,0.8888888888888888,"[[1.212229931263042, 1.0307764064044151]]","[['f', 'r']]"
12,asked,asked,5,1900-01-01 17:22:44.719,1900-01-01 17:22:47.646,top1,0.25,0.75,"[[5.510096156715416, 5.344389581607987]]","[['k', 'e']]"
12,questions,questions,9,1900-01-01 17:22:47.646,1900-01-01 17:22:52.082,top1,0.2857142857142857,0.7142857142857143,"[[3.232415756829556, 3.0], [4.863443521891151, 4.6097722286464435]]","[['t', 'i'], ['n', 's']]"
12,he,he,2,1900-01-01 17:22:53.225,1900-01-01 17:22:55.192,top1,1.0,0.0,"[[3.6110978528869864, 3.4003676271838605]]","[['h', 'e']]"
12,called,called,6,1900-01-01 17:22:55.192,1900-01-01 17:22:58.369,top1,0.2,0.8,"[[1.1010417297382513, 1.0307764064044151]]","[['e', 'd']]"
12,seven,seven,5,1900-01-01 17:22:58.369,1900-01-01 17:23:01.155,top1,0.6666666666666666,0.3333333333333333,"[[1.4153016076529412, 1.25], [3.125559502413128, 2.6575364531836625]]","[['s', 'e'], ['v', 'e']]"
12,times,times,5,1900-01-01 17:23:06.540,1900-01-01 17:23:12.418,top1,0.6666666666666666,0.3333333333333333,"[[3.120313711191553, 3.0], [5.295490665710308, 5.153882032022076]]","[['t', 'i'], ['m', 'e']]"
12,tickets,tickets,7,1900-01-01 17:23:12.919,1900-01-01 17:23:17.346,top1,0.75,0.25,"[[3.1281696175639193, 3.0], [4.806188609815994, 4.6097722286464435], [2.172387889080815, 2.0]]","[['t', 'i'], ['c', 'k'], ['e', 't']]"
12,are,are,3,1900-01-01 17:23:17.346,1900-01-01 17:23:20.806,top1,0.3333333333333333,0.6666666666666666,"[[3.177117448450718, 2.9261749776799064]]","[['a', 'r']]"
12,very,very,4,1900-01-01 17:23:25.142,1900-01-01 17:23:27.443,top1,1.0,0.0,"[[3.003193771324954, 2.6575364531836625], [2.175840555969118, 2.0]]","[['v', 'e'], ['r', 'y']]"
12,expensive,expensive,9,1900-01-01 17:23:27.443,1900-01-01 17:23:34.264,top1,0.5,0.5,"[[2.287336391007016, 2.0155644370746373], [5.9005088154539695, 5.836308764964376], [2.8102314462068776, 2.6575364531836625]]","[['e', 'x'], ['s', 'i'], ['v', 'e']]"
12,stability,stability,9,1900-01-01 17:24:43.328,1900-01-01 17:24:47.330,top1,0.2857142857142857,0.7142857142857143,"[[3.2804784140426833, 3.010398644698074], [1.5769377861063507, 1.6007810593582121]]","[['b', 'i'], ['l', 'i']]"
12,of,of,2,1900-01-01 17:24:47.330,1900-01-01 17:24:48.731,top1,0.0,1.0,[],[]
12,the,the,3,1900-01-01 17:24:48.731,1900-01-01 17:24:50.440,top1,0.5,0.5,"[[1.4835691391455268, 1.6007810593582121]]","[['t', 'h']]"
12,nation,nation,6,1900-01-01 17:24:50.440,1900-01-01 17:24:54.062,top3,0.5,0.5,"[[2.9504554971436185, 3.0], [3.0770210863146517, 3.010398644698074]]","[['t', 'i'], ['o', 'n']]"
12,sent,sent,4,1900-01-01 17:24:59.220,1900-01-01 17:25:01.573,top3,1.0,0.0,"[[1.456740866841114, 1.25], [2.661634897600533, 2.6575364531836625]]","[['s', 'e'], ['n', 't']]"
12,this,this,4,1900-01-01 17:25:07.917,1900-01-01 17:25:10.952,top1,1.0,0.0,"[[1.8610121574025247, 1.6007810593582121], [5.871289020787939, 5.836308764964376]]","[['t', 'h'], ['i', 's']]"
12,by,by,2,1900-01-01 17:25:13.578,1900-01-01 17:25:14.470,top1,0.0,1.0,[],[]
12,registered,registered,10,1900-01-01 17:25:14.470,1900-01-01 17:25:18.331,top1,0.25,0.75,"[[1.4618606989467224, 1.0], [2.8688169872353306, 2.9261749776799064]]","[['r', 'e'], ['g', 'i']]"
12,mail,mail,4,1900-01-01 17:25:18.331,1900-01-01 17:25:21.533,top1,0.3333333333333333,0.6666666666666666,"[[1.2043773352338538, 1.6007810593582121]]","[['i', 'l']]"
12,please,please,6,1900-01-01 17:25:22.034,1900-01-01 17:25:25.193,top1,1.0,0.0,"[[1.575106310896189, 1.25], [2.1828641914065567, 2.0155644370746373], [1.502650122491926, 1.25]]","[['p', 'l'], ['e', 'a'], ['s', 'e']]"
12,follow,follow,6,1900-01-01 17:25:27.720,1900-01-01 17:25:30.196,top1,0.2,0.8,"[[4.872498962608921, 4.8541219597369]]","[['f', 'o']]"
12,the,the,3,1900-01-01 17:25:30.196,1900-01-01 17:25:32.272,top1,0.5,0.5,"[[1.8876316717318027, 1.6007810593582121]]","[['t', 'h']]"
12,guidelines,guidelines,10,1900-01-01 17:25:32.272,1900-01-01 17:25:38.054,top3,0.6666666666666666,0.3333333333333333,"[[1.9259754022312958, 2.0155644370746373], [1.2525003118762086, 1.0307764064044151], [1.8432885778548076, 1.6007810593582121], [1.159623389833958, 1.25]]","[['g', 'u'], ['d', 'e'], ['l', 'i'], ['e', 's']]"
12,do,do,2,1900-01-01 17:25:39.219,1900-01-01 17:25:41.227,top1,0.0,1.0,[],[]
12,not,not,3,1900-01-01 17:25:41.227,1900-01-01 17:25:42.845,top1,0.5,0.5,"[[2.8859016165879607, 3.010398644698074]]","[['n', 'o']]"
12,drink,drink,5,1900-01-01 17:25:42.845,1900-01-01 17:25:45.898,top3,0.6666666666666666,0.3333333333333333,"[[1.6597366366761324, 1.25], [2.592747411651394, 2.3584952830141512]]","[['d', 'r'], ['i', 'n']]"
12,the,the,3,1900-01-01 17:25:46.997,1900-01-01 17:25:48.589,top1,0.5,0.5,"[[1.546134181191917, 1.6007810593582121]]","[['t', 'h']]"
12,water,water,5,1900-01-01 17:25:48.589,1900-01-01 17:25:51.733,top1,0.6666666666666666,0.3333333333333333,"[[1.5976551812343616, 1.25], [2.468639924761203, 2.0]]","[['w', 'a'], ['t', 'e']]"
12,question,question,8,1900-01-01 17:25:52.234,1900-01-01 17:25:58.011,top1,1.0,0.0,"[[5.86584356279001, 6.0], [1.4857873175946146, 1.25], [2.83750789921808, 3.0], [3.079844966167129, 3.010398644698074]]","[['q', 'u'], ['e', 's'], ['t', 'i'], ['o', 'n']]"
12,that,that,4,1900-01-01 17:25:58.011,1900-01-01 17:25:59.979,top1,0.3333333333333333,0.6666666666666666,"[[1.5151836367665141, 1.6007810593582121]]","[['t', 'h']]"
12,must,must,4,1900-01-01 17:26:07.717,1900-01-01 17:26:09.526,top1,0.0,1.0,[],[]
12,be,be,2,1900-01-01 17:26:11.177,1900-01-01 17:26:12.445,top1,0.0,1.0,[],[]
12,answered,answered,8,1900-01-01 17:26:26.878,1900-01-01 17:26:30.505,top1,0.0,1.0,[],[]
12,the,the,3,1900-01-01 17:26:31.006,1900-01-01 17:26:32.907,top1,0.5,0.5,"[[1.5826343643589944, 1.6007810593582121]]","[['t', 'h']]"
12,world,world,5,1900-01-01 17:26:32.907,1900-01-01 17:26:36.233,top1,0.25,0.75,"[[5.208982105759723, 5.344389581607987]]","[['r', 'l']]"
12,is,is,2,1900-01-01 17:26:36.233,1900-01-01 17:26:37.342,top1,0.0,1.0,[],[]
12,a,a,1,1900-01-01 17:26:37.342,1900-01-01 17:26:37.917,top1,0.0,1.0,[],[]
12,stage,stage,5,1900-01-01 17:26:41.745,1900-01-01 17:26:45.075,top3,0.6666666666666666,0.3333333333333333,"[[3.0527080651857297, 2.9261749776799064], [2.6539257301684236, 2.462214450449026]]","[['s', 't'], ['g', 'e']]"
12,companies,companies,9,1900-01-01 17:26:46.140,1900-01-01 17:26:51.417,top1,0.5,0.5,"[[5.801725369717615, 5.618051263561059], [2.7170109150498454, 2.3584952830141512], [1.522367902725882, 1.25]]","[['c', 'o'], ['n', 'i'], ['e', 's']]"
12,announce,announce,8,1900-01-01 17:26:59.530,1900-01-01 17:27:03.749,top1,0.3333333333333333,0.6666666666666666,"[[2.057167485281643, 2.0155644370746373], [2.4975187843387685, 2.1360009363293826]]","[['u', 'n'], ['c', 'e']]"
12,a,a,1,1900-01-01 17:27:03.749,1900-01-01 17:27:04.366,top1,0.0,1.0,[],[]
12,merger,merger,6,1900-01-01 17:27:04.366,1900-01-01 17:27:08.284,top1,1.0,0.0,"[[5.110336291832955, 5.153882032022076], [1.6139652886989235, 1.6007810593582121], [1.2647411358159426, 1.0]]","[['m', 'e'], ['r', 'g'], ['e', 'r']]"
12,are,are,3,1900-01-01 17:27:09.377,1900-01-01 17:27:11.495,top1,0.5,0.5,"[[2.988291051127718, 2.9261749776799064]]","[['a', 'r']]"
12,you,you,3,1900-01-01 17:27:11.495,1900-01-01 17:27:13.004,top1,0.5,0.5,"[[3.0900710170843966, 3.0]]","[['y', 'o']]"
12,talking,talking,7,1900-01-01 17:27:13.004,1900-01-01 17:27:17.251,top3,0.4,0.6,"[[1.2630952185999278, 1.0307764064044151], [2.100534414887078, 1.8027756377319946]]","[['k', 'i'], ['n', 'g']]"
12,to,to,2,1900-01-01 17:27:17.251,1900-01-01 17:27:18.840,top1,0.0,1.0,[],[]
12,me,me,2,1900-01-01 17:27:18.840,1900-01-01 17:27:20.150,top1,0.0,1.0,[],[]
12,completely,completely,10,1900-01-01 17:27:35.058,1900-01-01 17:27:39.060,top1,0.0,1.0,[],[]
12,sold,sold,4,1900-01-01 17:27:42.237,1900-01-01 17:27:44.872,top1,0.0,1.0,[],[]
12,out,out,3,1900-01-01 17:27:44.872,1900-01-01 17:27:46.648,top1,0.5,0.5,"[[2.065824124290351, 2.0]]","[['o', 'u']]"
12,of,of,2,1900-01-01 17:27:51.684,1900-01-01 17:27:52.876,top1,0.0,1.0,[],[]
12,that,that,4,1900-01-01 17:27:52.876,1900-01-01 17:27:54.686,top1,0.3333333333333333,0.6666666666666666,"[[1.9274831387070548, 1.6007810593582121]]","[['t', 'h']]"
12,just,just,4,1900-01-01 17:28:09.019,1900-01-01 17:28:10.745,top1,0.0,1.0,[],[]
12,what,what,4,1900-01-01 17:28:13.271,1900-01-01 17:28:14.597,top1,0.0,1.0,[],[]
