distance,target_distance,target_start_key,target_end_key
1.4371524036266996,5.836308764964376,s,i
1.7988811540093468,2.6575364531836625,v,e
0.8077480752839957,4.6097722286464435,n,s
2.073793903995766,2.6575364531836625,v,e
2.2167377001463215,4.6097722286464435,n,s
2.1378404297620066,2.1360009363293826,n,y
2.323721207460138,3.0,g,s
2.402478957374029,3.4003676271838605,h,e
1.535064600635752,8.0,a,l
1.9275336329750516,2.6575364531836625,n,t
2.3195853145012806,5.836308764964376,i,s
1.6134983585752418,2.0155644370746373,b,y
1.2968222519393318,1.0,r,e
1.5142225366916846,1.6007810593582121,i,l
1.6254497118105502,3.4003676271838605,h,e
1.3393716460527305,1.0307764064044151,e,d
3.68022861254909,4.25,e,n
1.0899263521564198,1.25,e,s
1.3001923415402816,1.6007810593582121,t,h
1.7974006405083987,2.692582403567252,c,h
1.3224134423469838,1.25,r,d
1.5416043286946228,2.0,o,u
1.388614715507869,1.8027756377319946,n,g
1.466826256113859,2.3584952830141512,c,t
1.8556856717935826,3.0,u,r
1.8815640310988624,2.6575364531836625,n,t
1.5599847204780566,2.0,e,t
1.976909836082567,2.6575364531836625,n,t
2.006771306882027,2.3584952830141512,i,n
1.8124356755827222,4.8541219597369,u,s
3.584083307660412,4.8541219597369,f,o
2.1682579593131903,2.462214450449026,l,u
1.9051907917909432,2.0,t,e
4.685644676162502,5.153882032022076,e,m
1.2724661648252185,1.0,e,r
1.5190730777763783,1.8027756377319946,n,g
1.6158853658675791,2.3584952830141512,z,e
2.3173766047246187,3.0,f,a
1.5249097770442026,3.0,t,i
2.103198159945943,2.9261749776799064,a,r
1.9066369484317138,2.6575364531836625,v,e
1.900412397678462,2.0155644370746373,e,x
1.1948157088542988,1.6007810593582121,t,h
0.806841691798955,1.0307764064044151,e,d
2.032509321165588,4.0,t,o
1.2609970819256482,1.6007810593582121,t,h
1.126489070075693,1.25,e,s
1.3167548177242412,1.6007810593582121,t,h
0.8759495205204463,1.0,e,r
1.2880820832249007,1.0,s,a
1.3584474709203889,3.881043674065006,a,t
2.413759311867072,3.881043674065006,a,t
1.3288037971235633,1.6007810593582121,t,h
1.1836965999042994,5.0,o,r
0.6066470606950964,3.881043674065006,a,t
1.364525615827713,1.0307764064044151,e,d
1.46146186445285,6.82367203197809,s,o
0.7673306511048549,2.0,o,u
0.9469240086326882,1.6007810593582121,t,h
1.3235510532748633,1.6007810593582121,t,h
0.7742623909244198,6.0,l,d
1.7787889138399755,2.9261749776799064,s,t
2.3755363506216867,2.9261749776799064,s,t
0.21522154283435468,1.0,t,y
1.7415798233931166,1.6007810593582121,t,h
1.0361651729454142,5.5901699437494745,n,a
0.7806451858879299,1.6007810593582121,t,h
1.3052324804895874,3.6400549446402595,n,d
1.355142347227774,2.9261749776799064,s,t
1.2235188111549404,5.618051263561059,c,o
1.550005897166201,2.1360009363293826,c,e
1.2821389172492195,1.6007810593582121,t,h
1.2874977973282131,8.0,a,l
0.932742302635085,2.0,o,u
0.9804296650576212,5.5901699437494745,n,a
0.9845164184131209,1.6007810593582121,l,i
0.7484601275285144,2.3584952830141512,b,u
0.9166320997270387,1.25,d,r
1.3389387880426047,1.6007810593582121,t,h
1.246575233389465,3.010398644698074,n,o
1.2893170006344445,1.25,d,r
1.3706398369009998,1.6007810593582121,t,h
0.8080256126045757,1.25,w,a
1.2788461168666856,1.6007810593582121,l,i
